Frequency(Hz), Amplitude, Phase(rad)
465.80625000000003, 164.56725567390436, 0.4625550436632491
932.439375, 158.09983038999425, -0.9637729988483855
2332.063125, 145.09293239486442, 0.10402471743578169
1399.62375, 143.16973391090923, -2.8362722630129933
1865.43, 142.0180272569344, 0.8528550792602125
2799.2475, 137.18517451271686, -1.7334273633337813
4201.903125, 127.92972804249187, 1.4796144771359474
3734.1675, 127.84160952276491, -2.4850230537583644
5608.96875, 124.27804614755186, -1.6134770904896873
7491.4875, 123.44211577925024, -1.2467448927345182
7019.6175, 120.8496034410696, -1.0564175705062981
6078.0825, 119.81482256686209, 0.8653614333070696
